Term,"Category ","Parent ","Function ",Child
Optic Chiasm,Structure,Hypothalamus (https://www.notion.so/Hypothalamus-1164f5eb85248046a823eb849f21d4ad?pvs=21),,
Anterior Pituitary Gland,Structure,Pituitary Gland (https://www.notion.so/Pituitary-Gland-1164f5eb852480918b24d32621871be4?pvs=21),,
Posterior Pituitary Gland,Structure,Pituitary Gland (https://www.notion.so/Pituitary-Gland-1164f5eb852480918b24d32621871be4?pvs=21),,
Tectum,Structure,Mesencephalon  (https://www.notion.so/Mesencephalon-1164f5eb852480e895e8fedcb0acc404?pvs=21),,"Superior Colliculi (https://www.notion.so/Superior-Colliculi-1164f5eb852480a3a94adf56c29a1f7f?pvs=21), Inferior Colliculi (https://www.notion.so/Inferior-Colliculi-1164f5eb85248073a057ece3ef384fdd?pvs=21)"
Superior Colliculi,Structure,Tectum (https://www.notion.so/Tectum-1164f5eb85248092834bf119abf82821?pvs=21),,
Inferior Colliculi,Structure,Tectum (https://www.notion.so/Tectum-1164f5eb85248092834bf119abf82821?pvs=21),,
Brain Stem,Subdivision,,Includes the Midbrain and Hindbrain,"Midbrain  (https://www.notion.so/Midbrain-e8099afe626143b5a38da74183a3256c?pvs=21), Hindbrain  (https://www.notion.so/Hindbrain-01e3cdb95d45498fbf8432d4e76f1507?pvs=21)"
Tegmentum,Structure,Mesencephalon  (https://www.notion.so/Mesencephalon-1164f5eb852480e895e8fedcb0acc404?pvs=21),,
"Reticular Formation ",Structure,"Mesencephalon  (https://www.notion.so/Mesencephalon-1164f5eb852480e895e8fedcb0acc404?pvs=21), Diencephalon  (https://www.notion.so/Diencephalon-1164f5eb852480f6906df08474c2dbb3?pvs=21)",,
Periaquaductal gray matter,Structure,Mesencephalon  (https://www.notion.so/Mesencephalon-1164f5eb852480e895e8fedcb0acc404?pvs=21),,
Red Nucleus,Structure,Mesencephalon  (https://www.notion.so/Mesencephalon-1164f5eb852480e895e8fedcb0acc404?pvs=21),,
Substantia Niagra,Structure,Mesencephalon  (https://www.notion.so/Mesencephalon-1164f5eb852480e895e8fedcb0acc404?pvs=21),,
Pons,Structure,,,
Cerebellar Cortex,Structure,Cerebellum (https://www.notion.so/Cerebellum-1164f5eb8524807e9425ed6d85a70f95?pvs=21),,
Inferior Cerebellar Peduncle,Structure,Cerebellum (https://www.notion.so/Cerebellum-1164f5eb8524807e9425ed6d85a70f95?pvs=21),,
Superior Cerebellar Peduncle,Structure,Cerebellum (https://www.notion.so/Cerebellum-1164f5eb8524807e9425ed6d85a70f95?pvs=21),,
Middle Cerebellar Peduncle,Structure,Cerebellum (https://www.notion.so/Cerebellum-1164f5eb8524807e9425ed6d85a70f95?pvs=21),,
Medulla Oblongata,Structure,Myelencephalon  (https://www.notion.so/Myelencephalon-1164f5eb852480b984dfd73a21bbd03f?pvs=21),,
Spinal Cord,Structure,,,
Meninges,Structure,,,"Dura Mater (https://www.notion.so/Dura-Mater-1164f5eb852480e79ee9f975b49160bb?pvs=21), Arachnoid Membrane (https://www.notion.so/Arachnoid-Membrane-1164f5eb85248094b6f9fda916b6f6bc?pvs=21), Pia Mater (https://www.notion.so/Pia-Mater-1164f5eb852480548753c9b1fd47bbaa?pvs=21)"
Dura Mater,Structure,Meninges (https://www.notion.so/Meninges-1164f5eb852480629490d167f2e35e4a?pvs=21),,
Arachnoid Membrane,Structure,Meninges (https://www.notion.so/Meninges-1164f5eb852480629490d167f2e35e4a?pvs=21),,
Pia Mater,Structure,Meninges (https://www.notion.so/Meninges-1164f5eb852480629490d167f2e35e4a?pvs=21),,
