Term,Category,Parent,Function,Child
Optic Chiasm,Structure,Hypothalamus,"The point where optic nerves cross, allowing visual information to be processed by both hemispheres of the brain.",
Anterior Pituitary Gland,Structure,Pituitary Gland,,
Posterior Pituitary Gland,Structure,Pituitary Gland,,
Tectum,Structure,Mesencephalon,,"Superior Colliculi, Inferior Colliculi"
Superior Colliculi,Structure,Tectum,Plays a role in visual processing and eye movements.,
Inferior Colliculi,Structure,Tectum,Involved in auditory processing and reflexive responses to sound.,
Brain Stem,Subdivision,,Includes the Midbrain and Hindbrain,"Midbrain , Hindbrain"
Tegmentum,Structure,Mesencephalon,,
Reticular Formation,Structure,"Mesencephalon , Diencephalon","Regulates wakefulness, sleep-wake transitions, and consciousness.",
Periaquaductal gray matter,Structure,Mesencephalon,"Involved in pain modulation, defensive behavior, and reproductive behaviors.",
Red Nucleus,Structure,Mesencephalon,"Helps coordinate limb movements, especially during motor learning.",
Substantia Niagra,Structure,Mesencephalon,"Involved in movement regulation and reward, producing dopamine to control movement.",
Pons,Structure,,"Relays messages between the cortex and the cerebellum, and plays a key role in sleep and respiration.",
Cerebellar Cortex,Structure,Cerebellum,Plays a crucial role in fine-tuning motor activities and ensuring smooth coordination.,
Inferior Cerebellar Peduncle,Structure,Cerebellum,Connects the medulla to the cerebellum and transmits sensory information.,
Superior Cerebellar Peduncle,Structure,Cerebellum,"Connects the cerebellum to the midbrain, involved in motor control.",
Middle Cerebellar Peduncle,Structure,Cerebellum,"Links the cerebellum to the pons, important for movement coordination.",
Medulla Oblongata,Structure,Myelencephalon,"Controls autonomic functions such as heart rate, breathing, and digestion.",
Spinal Cord,Structure,,"Transmits nerve signals between the brain and the body, controls reflexes.",
Meninges,Structure,,Protects the central nervous system by encasing the brain and spinal cord.,"Dura Mater, Arachnoid Membrane, Pia Mater"
Dura Mater,Structure,Meninges,"The tough outer layer of the meninges, providing protection to the brain and spinal cord.",
Arachnoid Membrane,Structure,Meninges,A web-like structure that cushions the brain and spinal cord.,
Pia Mater,Structure,Meninges,"The delicate innermost layer of the meninges, adhering closely to the brain and spinal cord.",
